Age,Fuel_Type,Transmission,Mileage
13,1,0,22.5
6,0,0,24.52
8,1,1,20.51
10,0,0,19.6
8,1,0,13.06
17,1,0,13.5
12,0,0,21.0
10,0,1,15.15
15,0,0,28.4
12,1,1,9.43
12,0,0,17.9
16,1,1,11.74
9,1,0,20.3
8,1,1,16.9
10,1,0,18.0
6,1,1,22.5
13,0,1,16.07
12,1,0,15.6
19,1,0,13.0
4,1,0,18.16
10,0,1,14.21
11,1,0,26.0
7,1,1,17.21
7,0,0,20.34
11,0,0,22.7
4,1,0,18.6
8,0,1,14.16
8,1,0,17.5
9,0,1,18.23
6,0,0,17.1
11,1,0,14.28
7,0,1,20.68
10,0,0,17.3
10,0,0,19.3
14,0,1,18.1
16,1,0,19.81
7,1,1,15.5
9,0,1,23.8
7,1,0,15.7
12,1,0,14.49
9,1,0,20.36
12,0,1,22.69
14,1,0,18.0
5,1,0,17.4
6,0,1,18.12
7,0,1,21.21
11,0,1,15.2
13,0,0,16.52
9,1,0,15.1
6,0,0,25.0
8,0,0,18.2
5,0,1,11.0
6,0,1,22.0
6,0,1,17.01
9,0,1,14.4
8,1,0,18.7
11,0,1,14.94
6,0,1,12.9
11,0,1,15.8
11,0,1,16.73
10,0,0,10.5
15,1,0,13.4
19,1,1,10.5
11,1,0,19.1
7,0,0,28.4
6,0,0,23.0
6,0,1,14.69
8,0,1,20.68
16,1,1,10.13
13,0,0,19.5
11,0,1,15.3
9,0,0,15.3
14,0,0,20.4
12,1,1,12.9
6,0,1,20.38
12,0,0,21.9
5,0,1,22.32
17,1,0,15.3
8,0,0,22.9
5,0,1,12.55
12,1,0,12.4
7,1,0,18.16
5,1,1,12.05
11,1,0,13.14
6,1,1,12.05
5,0,0,23.4
11,0,1,12.39
11,0,0,21.9
10,0,0,21.43
5,0,1,24.3
15,1,0,15.7
14,0,0,13.8
7,1,0,18.78
11,0,0,21.64
10,0,1,16.36
12,0,1,12.8
9,1,0,15.6
11,0,1,11.72
9,0,0,19.6
10,1,0,15.1
12,0,0,14.0
18,1,0,14.0
8,1,0,16.78
8,0,0,24.0
9,0,1,20.0
8,1,0,20.4
15,1,0,15.0
11,1,1,17.16
9,0,0,15.4
8,0,1,16.77
14,0,0,13.6
8,1,0,17.43
7,0,0,18.49
16,1,0,13.2
12,1,0,18.6
14,0,1,12.4
6,0,1,20.7
8,0,0,26.1
9,0,1,19.08
8,0,1,18.56
15,1,1,10.1
10,0,1,9.52
12,0,1,13.73
17,0,0,12.8
4,1,1,19.0
10,0,1,16.1
9,1,0,17.3
13,1,1,11.9
7,0,0,25.32
13,1,1,10.9
8,0,0,23.59
8,0,0,13.0
14,1,0,17.3
16,1,0,19.0
11,0,1,12.07
11,0,1,13.01
16,0,0,13.6
14,1,1,10.9
7,0,1,15.68
13,0,1,11.4
5,0,1,12.62
9,1,1,19.12
11,0,1,14.16
9,0,0,21.79
12,1,0,16.8
10,1,0,15.0
6,0,1,18.0
7,1,1,12.95
7,0,1,13.0
9,1,1,15.5
7,0,1,9.0
7,1,0,22.5
6,1,0,16.8
8,1,1,19.16
18,0,1,11.0
6,0,1,15.4
13,1,1,12.1
5,0,1,18.12
7,1,1,24.07
10,1,0,24.7
14,0,0,23.0
11,0,1,11.9
10,1,1,14.3
6,1,1,16.5
7,1,1,18.9
6,1,0,23.1
14,1,0,18.5
7,1,0,23.84
9,0,1,16.55
13,0,0,14.24
7,0,1,15.26
8,0,0,21.9
8,1,0,21.5
8,0,0,20.4
6,0,0,25.6
8,1,0,14.0
11,0,1,14.0
8,0,1,13.01
10,1,0,15.8
8,0,1,23.8
10,1,1,17.01
8,0,1,11.18
7,1,0,23.1
6,0,0,26.21
7,1,1,15.63
12,0,1,16.77
12,0,0,19.2
10,1,0,26.0
7,1,0,18.88
10,0,1,20.58
11,0,0,13.93
17,1,0,16.9
8,0,1,17.05
12,1,1,9.0
13,0,1,14.7
12,1,1,19.2
7,1,1,14.62
7,0,1,15.3
11,0,0,13.58
12,0,0,20.64
4,0,1,18.0
9,1,0,15.04
12,1,0,23.9
9,0,0,22.77
8,1,1,14.62
6,0,1,15.97
11,1,0,16.25
10,0,0,14.0
11,1,0,17.01
7,1,1,13.7
15,0,0,15.8
7,1,1,15.04
9,0,0,14.0
11,1,1,16.82
17,1,0,13.4
9,1,0,14.28
5,1,0,10.4
12,0,0,16.0
10,1,1,17.44
14,0,0,21.1
6,0,0,24.2
6,1,1,14.84
13,0,1,20.0
5,0,1,16.0
7,0,0,13.5
7,1,0,17.0
9,0,0,11.1
11,0,1,13.2
16,1,1,10.1
9,1,0,17.92
9,0,1,12.55
7,0,1,10.5
11,0,0,18.5
16,1,0,14.0
8,0,0,14.02
16,1,0,20.36
7,1,1,19.16
12,0,0,28.4
6,0,0,27.39
12,1,0,18.3
11,0,0,20.14
10,0,1,22.48
8,1,0,20.14
6,0,0,25.4
9,0,0,22.71
9,0,0,23.08
9,0,0,11.5
11,0,1,16.09
7,0,0,22.7
6,0,1,22.69
10,1,1,19.34
5,0,0,26.21
8,0,0,24.5
8,0,1,14.74
11,1,0,12.8
16,1,0,19.7
4,0,1,17.6
12,1,0,14.0
13,1,1,14.67
16,1,0,17.92
7,0,0,17.8
14,1,1,11.1
8,0,0,18.6
15,0,0,18.1
5,0,1,16.1
13,1,0,17.92
10,0,1,17.54
7,1,0,17.43
7,0,1,19.5
18,0,0,10.5
7,0,1,18.0
12,0,1,12.07
7,0,0,19.3
5,0,0,21.13
7,0,1,12.07
10,0,1,13.2
11,1,1,12.05
7,0,1,15.87
5,1,0,22.7
15,0,0,9.5
15,0,1,13.1
5,0,0,16.3
15,0,0,12.99
8,0,0,14.8
8,0,0,19.3
16,0,0,11.56
7,1,1,22.5
4,1,1,23.84
8,1,0,22.0
7,1,1,16.82
13,1,0,26.0
8,0,0,26.21
6,0,0,22.0
10,0,1,14.39
15,0,0,19.09
7,0,0,19.87
13,1,1,12.3
9,1,0,24.7
12,1,0,16.2
18,1,0,16.8
14,0,0,19.3
15,0,0,12.8
8,1,0,25.4
4,1,0,18.12
7,1,0,15.4
8,0,0,27.4
13,0,1,11.0
8,0,1,17.85
6,1,1,15.04
15,1,1,10.4
6,0,0,16.5
10,0,0,15.8
12,1,0,22.5
5,0,0,22.54
7,0,1,15.0
11,0,1,18.5
14,0,1,11.8
9,1,0,22.5
17,0,0,17.0
8,0,1,15.17
17,0,0,12.7
16,0,0,12.6
9,0,1,18.18
15,0,1,16.77
7,1,0,17.19
10,0,0,20.34
5,0,0,21.66
8,1,0,16.8
8,0,0,21.19
4,1,1,21.4
15,1,0,11.1
6,1,0,20.85
7,0,0,23.9
9,0,0,21.12
14,1,0,13.5
12,1,0,15.1
8,0,0,27.62
9,1,0,17.1
10,1,0,18.4
5,0,1,28.4
12,1,0,17.1
6,1,1,17.21
6,0,0,26.59
9,1,0,13.1
9,1,0,15.8
10,0,1,16.46
7,0,0,11.68
11,0,0,21.8
12,1,1,14.53
12,1,1,10.9
6,0,0,18.49
6,1,0,16.1
11,0,1,17.0
7,1,0,20.51
6,1,0,17.8
14,1,0,17.5
18,0,0,13.1
5,0,1,18.88
8,0,1,16.96
12,1,0,15.26
14,0,1,18.56
5,0,0,20.5
10,0,0,22.1
6,0,1,18.56
8,0,1,18.12
14,0,1,18.48
5,1,1,20.51
16,1,0,17.3
18,1,0,15.3
5,1,0,21.7
4,0,1,12.9
13,0,0,12.8
5,1,0,20.85
11,1,0,18.0
14,0,1,22.69
11,1,1,14.4
4,0,0,24.7
7,0,0,25.83
12,0,0,15.42
12,0,1,14.84
12,0,0,13.1
5,0,0,21.5
10,0,1,17.85
8,0,1,17.01
6,0,1,13.8
16,0,1,11.0
12,0,1,18.48
8,0,1,14.47
14,0,0,12.8
15,0,1,11.0
4,0,0,16.3
4,1,1,20.89
5,0,0,18.06
10,0,1,12.4
11,0,0,19.87
8,1,0,17.71
8,1,1,23.1
8,0,0,19.09
7,1,0,19.69
6,0,1,18.88
9,1,1,15.6
9,0,0,12.83
9,0,1,9.0
13,0,0,21.9
10,1,0,22.0
13,1,1,8.0
5,1,1,13.0
7,0,0,22.77
5,0,0,25.47
15,1,1,19.2
16,1,1,12.9
12,1,0,17.6
13,1,0,22.0
12,0,0,13.93
5,1,1,13.6
8,1,0,15.6
17,0,0,12.6
7,0,0,11.5
11,1,1,15.6
5,1,0,20.3
13,0,1,14.21
4,0,1,12.63
6,1,0,20.36
14,0,0,18.0
7,0,1,11.3
7,0,0,25.4
4,0,1,22.69
9,0,1,12.07
7,0,0,26.21
11,0,1,14.57
17,1,1,12.0
13,1,0,15.5
14,1,0,14.53
6,0,0,27.28
8,1,0,15.41
11,0,0,17.5
10,0,1,14.16
9,0,0,18.2
13,1,0,12.8
13,0,0,16.8
10,1,0,18.44
14,1,0,12.8
6,1,0,14.0
4,0,0,22.54
11,1,0,15.6
9,1,1,18.19
13,0,0,14.95
4,1,1,13.33
10,1,0,17.01
7,0,0,14.1
5,1,0,14.69
13,1,0,16.7
7,0,1,14.74
4,1,1,18.9
6,1,1,17.84
4,0,1,20.7
4,0,0,12.62
9,0,1,14.74
10,1,1,13.7
12,1,0,14.8
8,0,1,20.0
8,0,1,20.7
4,0,1,10.91
5,0,0,14.0
11,0,1,16.77
8,1,0,19.4
9,0,0,21.02
6,1,0,18.0
8,0,1,12.7
6,1,0,17.4
15,1,1,9.5
10,0,0,13.0
15,1,0,19.0
7,0,0,14.07
11,0,0,23.19
12,0,1,19.08
9,0,0,21.5
10,1,1,15.0
4,0,0,19.67
8,0,1,9.0
13,1,0,10.2
10,1,1,14.53
11,0,1,11.49
5,1,0,19.0
7,1,0,18.2
6,0,1,18.51
17,0,0,12.99
10,0,0,19.64
8,1,1,10.0
11,0,0,23.5
11,1,0,17.92
11,0,1,12.55
5,0,0,26.1
16,1,0,12.8
9,1,0,13.44
9,0,0,20.54
13,1,1,11.1
11,0,0,12.83
4,0,1,17.9
14,0,1,8.7
11,1,1,15.0
13,1,1,8.77
6,1,0,20.3
6,1,1,18.5
8,0,1,14.39
8,1,1,14.3
16,0,0,10.5
11,0,0,20.45
13,0,1,11.8
5,0,0,23.0
7,0,1,19.08
5,1,0,16.47
9,0,0,19.64
11,1,1,16.5
11,0,1,18.53
17,0,0,16.4
11,0,1,17.05
9,1,1,10.1
10,1,1,17.97
13,0,1,22.69
12,0,0,23.57
13,0,0,22.07
9,1,1,14.28
12,1,0,18.06
6,1,1,13.1
12,1,0,17.71
10,0,0,21.27
8,1,0,18.16
19,0,0,10.5
8,0,1,15.26
7,0,1,12.62
6,1,0,17.5
7,0,1,16.2
15,0,0,17.0
7,0,0,23.65
16,1,0,11.9
9,1,0,19.5
15,0,1,16.07
15,1,0,14.49
13,1,0,14.3
11,0,0,17.21
10,1,1,12.37
7,1,0,14.28
7,1,0,18.15
11,0,0,9.5
7,1,1,13.0
6,0,1,16.0
14,0,1,13.5
11,0,1,12.9
15,1,1,9.1
5,1,0,16.8
10,0,0,19.87
7,0,1,12.51
12,0,1,11.79
7,1,0,19.44
15,1,0,14.4
9,1,0,17.43
7,1,0,15.0
10,1,1,19.2
5,1,0,18.15
6,0,1,18.53
9,0,1,17.9
10,0,1,22.7
7,1,1,21.4
13,0,1,9.9
14,0,1,11.4
18,0,0,13.5
10,0,0,24.0
5,1,0,20.14
6,0,1,13.22
6,0,0,21.38
13,1,0,16.51
7,0,1,13.01
5,0,0,12.4
11,0,0,24.8
8,0,0,23.9
12,0,1,11.2
10,1,1,17.0
13,0,0,13.8
13,1,0,10.8
12,0,0,14.24
15,1,0,18.0
15,1,0,15.6
7,0,0,23.2
11,1,0,16.2
6,0,0,24.4
13,0,0,20.54
7,1,0,15.1
12,1,0,13.14
13,0,1,11.5
15,1,1,16.8
15,1,0,16.6
11,0,0,20.4
13,0,1,22.48
11,1,0,15.5
13,0,1,16.55
10,0,1,19.08
9,0,0,17.21
6,1,1,14.8
8,1,0,24.7
10,0,0,23.0
18,1,0,15.9
16,1,0,17.7
8,0,1,12.65
5,0,0,20.37
8,1,1,17.97
10,0,0,11.68
4,0,0,18.06
13,0,0,14.42
7,0,0,21.38
9,0,0,28.4
4,0,0,23.9
12,1,0,21.1
6,0,0,20.65
15,1,0,15.3
13,0,0,13.1
10,0,0,18.3
12,0,1,12.4
12,1,1,13.4
18,1,0,19.7
7,0,0,20.4
7,0,0,21.64
11,0,0,19.64
9,0,1,15.06
5,1,1,15.26
6,1,0,20.51
9,0,0,19.3
7,1,0,19.81
15,0,0,16.52
10,0,0,12.83
9,1,0,22.0
12,1,0,15.7
7,1,0,16.78
11,1,0,16.02
9,1,1,19.16
7,1,1,14.67
8,0,0,24.52
7,0,1,12.55
10,1,1,17.21
18,0,0,18.7
19,1,0,13.2
6,0,0,26.8
8,0,1,13.5
8,1,0,15.64
17,1,0,13.0
14,0,0,15.8
17,1,0,17.3
5,0,0,21.38
11,1,0,16.95
8,1,1,19.12
15,1,0,14.53
9,1,0,20.4
5,1,1,17.01
6,1,1,24.04
10,0,0,25.0
7,0,1,19.3
11,0,1,16.07
11,1,1,10.5
11,1,0,9.8
5,0,1,16.36
10,1,1,17.1
6,1,0,10.4
16,0,1,14.3
10,0,0,25.2
12,1,0,11.7
14,1,0,14.28
8,1,1,10.1
17,1,0,16.6
5,0,1,17.6
12,1,1,11.8
8,0,0,21.14
6,1,0,15.8
6,0,0,23.59
11,0,0,19.4
9,1,1,18.0
9,1,0,16.78
17,1,1,16.4
7,0,1,12.63
15,1,0,20.4
17,0,0,16.8
6,0,1,13.33
7,0,0,21.9
5,1,0,17.3
9,0,0,19.68
8,0,1,14.94
6,1,1,19.16
10,0,0,20.45
4,0,1,13.5
15,1,0,10.8
8,1,0,14.28
12,1,0,15.5
8,1,1,14.7
4,0,0,14.24
14,1,1,10.93
10,1,0,17.71
15,1,0,13.8
12,1,1,10.5
5,1,0,20.51
8,0,1,11.3
9,0,0,21.2
14,0,0,23.2
6,0,0,20.5
9,1,1,16.9
7,1,1,16.93
7,0,1,16.96
14,1,0,19.81
14,1,0,9.8
9,1,0,12.4
13,0,1,16.46
8,0,0,25.6
8,0,0,22.07
7,1,0,16.09
11,1,1,17.0
15,1,0,14.0
8,0,0,19.72
6,1,1,20.51
5,0,1,18.51
8,1,1,14.53
19,1,0,14.2
16,1,0,13.0
10,1,0,19.5
8,1,1,17.01
10,1,1,15.6
13,1,0,18.0
9,0,0,21.14
6,1,0,22.7
14,1,1,10.0
12,0,0,22.9
5,1,0,23.1
17,1,1,9.0
13,0,0,14.0
8,1,0,25.17
12,1,1,10.93
9,1,1,12.98
12,0,1,17.2
5,1,1,22.5
9,0,0,25.47
12,0,0,21.12
9,0,1,17.2
15,1,0,16.51
11,1,1,14.53
16,1,0,16.9
4,0,0,28.4
9,1,1,14.4
6,1,0,23.9
19,1,0,14.0
5,1,0,22.0
12,1,1,12.05
14,0,0,12.99
6,0,0,12.8
5,0,1,17.54
11,0,0,21.13
10,1,0,17.8
6,1,0,23.01
8,0,1,16.12
8,0,0,15.8
8,0,0,27.39
15,1,0,18.2
9,0,1,16.46
8,0,1,11.33
14,0,0,19.09
4,0,1,26.59
6,1,0,23.84
5,1,0,19.5
18,1,1,9.3
9,1,0,15.85
8,1,0,14.53
4,0,1,15.8
16,0,0,13.1
10,1,0,15.6
9,0,0,19.1
11,0,1,14.7
14,0,0,18.1
16,1,0,18.0
9,0,0,12.55
11,0,0,10.5
10,0,0,17.88
9,0,1,12.39
13,0,0,21.43
6,1,0,22.5
17,1,1,10.1
9,0,1,11.72
15,0,0,17.7
8,0,1,18.19
13,0,0,17.0
11,0,0,20.64
13,1,0,16.6
13,1,1,10.6
8,1,0,14.6
9,0,1,11.1
7,0,0,19.98
14,1,1,12.05
14,0,0,15.0
7,1,1,16.9
15,1,0,9.8
8,0,0,13.5
12,0,0,14.66
7,0,1,11.57
9,1,1,16.8
10,1,0,15.4
13,0,0,17.67
9,0,1,12.9
8,0,0,20.34
12,0,1,22.48
16,0,1,16.07
6,0,1,19.59
13,0,1,11.33
6,1,0,18.2
13,1,0,17.8
13,0,1,18.33
8,1,0,19.81
5,0,0,24.7
12,1,0,17.92
15,0,0,12.7
4,0,1,17.11
14,1,0,13.8
4,0,1,20.68
7,0,1,11.78
8,0,1,16.55
13,1,1,7.94
13,1,0,16.25
12,0,1,12.35
13,1,0,15.3
11,0,1,19.08
7,1,0,21.7
5,0,0,21.19
14,1,0,15.0
9,1,1,14.3
11,1,0,16.09
4,0,0,22.77
9,0,0,18.6
8,0,1,12.0
7,1,1,16.05
9,0,1,21.21
19,1,1,13.0
5,1,0,16.09
6,0,0,14.24
8,1,1,15.6
9,1,1,12.0
11,0,1,16.36
7,0,1,16.55
9,0,0,25.01
12,0,0,15.0
11,1,0,13.2
13,1,1,8.1
7,0,1,15.73
4,1,0,17.0
14,1,0,13.9
5,1,0,19.69
6,0,0,13.5
7,1,1,14.53
4,1,0,23.84
12,1,1,13.9
17,0,1,11.0
14,1,1,17.0
5,0,0,28.09
18,1,0,12.8
7,0,0,20.5
7,0,1,20.38
10,1,0,15.26
14,0,1,14.49
5,0,1,21.76
19,1,0,19.7
10,1,1,14.67
13,0,0,10.5
6,0,0,16.55
10,0,1,12.39
17,1,1,11.62
4,0,0,22.7
8,0,0,15.3
14,0,1,11.7
12,1,1,7.94
7,1,0,20.62
8,1,0,24.07
9,0,0,15.11
19,1,0,15.9
9,1,0,21.5
10,0,1,11.79
6,0,1,18.25
6,1,0,24.7
16,1,1,17.0
9,0,1,15.26
5,1,1,10.37
8,0,0,23.0
10,0,0,15.0
6,1,0,17.1
15,0,1,15.2
8,1,0,19.49
6,0,1,12.83
5,1,0,15.8
11,0,0,12.55
11,0,0,18.3
9,0,1,18.25
5,1,1,14.3
11,0,1,15.26
17,1,0,20.4
12,0,0,17.88
4,1,1,22.0
11,1,0,25.4
5,1,1,23.84
5,1,0,16.1
4,0,0,20.5
15,1,1,10.0
7,0,1,18.59
7,0,1,16.09
16,0,1,16.73
9,0,0,17.0
10,0,0,11.5
7,0,0,21.19
17,1,0,17.7
9,1,0,13.06
4,0,1,12.81
14,1,1,9.74
12,0,0,23.5
7,1,0,16.2
4,0,1,12.51
13,1,1,19.2
7,0,1,14.81
10,1,0,11.7
12,1,0,14.53
10,0,0,22.0
16,1,0,14.2
9,0,1,12.8
15,0,1,13.2
11,1,1,15.64
11,1,0,16.1
4,1,0,22.5
7,0,0,21.14
12,1,1,19.15
8,1,0,13.7
6,0,0,14.0
13,0,1,18.59
10,1,0,17.4
11,0,1,22.0
14,1,0,15.5
11,1,1,10.0
6,0,0,22.07
6,0,0,15.96
7,0,0,20.64
8,1,0,15.8
12,0,1,16.96
14,0,0,13.93
10,0,1,8.2
10,0,1,16.96
10,1,1,16.8
10,1,0,18.2
11,0,1,16.2
15,1,0,13.9
12,0,1,14.94
10,0,0,22.54
11,0,0,14.66
5,1,1,23.1
19,0,0,17.88
12,0,1,14.0
14,1,0,13.17
7,1,0,18.06
12,1,1,10.37
6,0,1,21.76
6,0,0,20.14
8,0,1,18.53
7,0,0,22.95
4,1,0,17.19
7,0,1,13.6
4,1,0,17.8
5,0,0,16.0
9,1,0,18.06
8,1,0,17.19
6,0,1,19.08
18,0,0,16.1
10,0,1,18.56
10,1,1,13.6
12,0,1,15.6
13,0,1,18.48
7,0,1,11.18
9,1,1,11.8
10,0,1,11.49
5,1,0,18.88
7,0,1,11.72
10,0,0,17.2
4,1,0,17.5
9,1,1,17.97
12,0,0,18.7
14,1,1,12.1
8,1,1,21.5
18,1,0,13.4
12,1,0,15.8
5,1,1,24.07
7,0,0,24.8
10,0,0,21.8
11,0,0,17.0
16,0,1,16.46
17,0,0,10.5
11,1,0,18.2
11,1,0,15.64
8,0,1,15.15
5,0,1,18.56
7,1,1,17.44
17,1,1,8.6
7,0,1,14.84
8,1,1,19.15
8,0,1,15.87
8,1,1,16.8
7,0,1,12.97
9,0,1,12.65
6,0,0,25.8
9,0,1,14.69
13,1,0,21.1
7,0,1,22.48
4,1,0,25.17
9,0,1,14.94
19,1,1,14.4
11,0,0,19.72
5,0,0,19.67
7,0,0,24.5
9,0,1,14.7
5,0,0,22.7
16,1,0,13.9
10,0,1,18.12
14,0,0,17.5
10,0,1,7.5
11,0,0,22.71
4,1,1,21.5
5,1,0,17.8
4,1,0,17.01
12,1,1,9.74
5,0,0,23.59
6,0,1,22.48
6,0,0,24.7
9,1,1,13.1
14,0,0,16.8
6,1,1,14.7
6,0,0,20.64
4,1,0,14.0
10,1,1,13.0
8,0,0,25.44
11,1,0,17.4
8,0,0,21.38
16,1,0,14.49
5,0,0,18.3
13,1,1,16.95
4,1,1,18.0
5,0,1,20.68
11,0,0,21.0
12,1,0,12.0
5,0,1,15.0
7,0,0,20.45
9,0,1,27.03
12,1,1,6.4
10,0,0,22.3
10,1,0,14.53
10,0,1,11.3
4,1,0,15.41
11,1,1,16.98
13,1,1,12.6
5,0,0,22.77
6,1,1,19.15
15,1,0,12.85
8,0,1,19.5
14,1,0,18.2
9,1,0,20.92
7,0,0,13.0
4,0,0,16.55
6,0,1,18.19
9,0,1,8.2
14,0,0,10.9
9,1,1,10.5
11,0,1,19.71
13,1,1,11.8
8,1,1,15.63
6,1,0,16.78
12,0,1,11.4
12,0,0,14.42
11,1,1,14.74
8,1,1,12.5
5,0,0,17.45
8,1,0,18.88
6,1,1,18.69
16,0,1,15.6
13,1,1,14.28
10,1,1,14.74
5,1,1,17.0
5,1,1,13.7
10,0,0,20.14
7,0,0,14.0
6,0,0,12.4
11,1,1,11.74
10,0,1,18.25
15,0,0,13.93
9,1,0,16.3
13,1,0,17.24
12,1,0,16.09
11,0,0,14.0
